"city_id","city_name","city_alternate_name","city_lat","city_lng"
"2034655","Suihua","Suihua","46.63954","126.99508"
"2034657","Suifenhe","Suifenhe","44.39982","131.14775"
"2034691","Songjianghe","Songjianghe","42.18590","127.47895"
"2034714","Siping","Siping","43.16143","124.37785"
"2034754","Shunyi","Shunyi","40.12175","116.64783"
"2034761","Shulan","Shulan","44.41667","126.95000"
"2034786","Shuangyashan","Shuangyashan","46.63611","131.15389"
"2034791","Shuangyang","Shuangyang","43.52417","125.67361"
"2034834","Shuangcheng","Shuangcheng","45.35000","126.28333"
"2034918","Shiguai","Shiguai","40.70583","110.28556"
"2034937","Shenyang","Shenyang","41.79222","123.43278"
"2034995","Shanhecun","Shanhecun","45.71131","128.58029"
"2034996","Shanhaiguan","Shanhaiguan","40.00250","119.74889"
"2035002","Shangzhi","Shangzhi","45.21406","127.97426"
"2035182","Sanchazi","Sanchazi","42.08167","126.60028"
"2035196","Salaqi","Salaqi","40.54139","110.51083"
"2035225","Fendou","Fendou","46.64142","124.86283"
"2035261","Taihecun","Taihecun","45.76347","130.85048"
"2035265","Qiqihar","Qiqihar","47.34088","123.96045"
"2035325","Qinggang","Qinggang","46.68469","126.10595"
"2035399","Songyuan","Songyuan","45.12902","124.82769"
"2035453","Pingzhuang","Pingzhuang","42.03722","119.28889"
"2035511","Panshi","Panshi","42.94222","126.05611"
"2035513","Panshan","Panshan","41.18806","122.04944"
"2035593","Nianzishan","Nianzishan","47.51667","122.88333"
"2035601","Nenjiang","Nenjiang","49.17414","125.21774"
"2035610","Nehe","Nehe","48.48333","124.83333"
"2035635","Nantai","Nantai","40.92410","122.80437"
"2035644","Nanpiao","Nanpiao","41.09822","120.74792"
"2035669","Lianhe","Lianhe","47.13333","129.27426"
"2035707","Mujiayingzi","Mujiayingzi","42.11667","118.78333"
"2035715","Mudanjiang","Mudanjiang","44.58333","129.60000"
"2035746","Mishan","Mishan","45.55000","131.88333"
"2035754","Mingyue","Mingyue","43.10694","128.92167"
"2035758","Mingshui","Mingshui","47.18150","125.90027"
