"appearance_id","book_id","city_id"
"3658","17","298117"
"3659","17","1164076"
"3660","17","1253785"
"3661","17","1253786"
"3662","17","1262824"
"3663","17","1708291"
"3664","17","1712808"
"3665","17","2130421"
"3666","17","2300379"
"3667","17","2344600"
"3668","17","2356454"
"3669","17","2394824"
"3670","17","2410048"
"3671","17","2640729"
"3672","17","2648182"
"3673","17","2654187"
"3674","17","2661552"
"3675","17","3070291"
"3676","17","3667991"
"3677","17","3711668"
"3678","17","4081914"
"3679","17","4319435"
"3680","17","4440076"
"3681","17","4520760"
"3682","17","4529096"
"3683","17","5780802"
"3684","17","7260219"
"3685","18","113632"
"3686","18","178522"
"3687","18","281184"
"3688","18","286245"
"3689","18","289433"
"3690","18","298117"
"3691","18","305089"
"3692","18","309647"
"3693","18","361058"
"3694","18","492944"
"3695","18","580660"
"3696","18","668732"
"3697","18","686502"
"3698","18","711350"
"3699","18","736364"
"3700","18","741240"
"3701","18","749795"
"3702","18","943882"
"3703","18","1150490"
"3704","18","1164076"
"3705","18","1252887"
"3706","18","1253013"
"3707","18","1253785"
"3708","18","1253786"
"3709","18","1254675"
"3710","18","1257940"
"3711","18","1258061"
"3712","18","1262574"
"3713","18","1262824"
"3714","18","1263309"
"3715","18","1263311"
"3716","18","1267979"
"3717","18","1269751"
"3718","18","1273294"
"3719","18","1511330"
"3720","18","1513023"
"3721","18","1519030"
"3722","18","1528193"
"3723","18","1635283"
"3724","18","1693401"
"3725","18","1698829"
"3726","18","1698839"
"3727","18","1708291"
"3728","18","1712808"
"3729","18","1725919"
"3730","18","1854162"
"3731","18","1856586"
"3732","18","2130421"
"3733","18","2154219"
"3734","18","2165478"
"3735","18","2172264"
"3736","18","2179537"
"3737","18","2186280"
"3738","18","2216645"
"3739","18","2278158"
"3740","18","2284647"
"3741","18","2294206"
"3742","18","2300379"
"3743","18","2335953"
"3744","18","2339156"
"3745","18","2344600"
"3746","18","2356454"
"3747","18","2391893"
"3748","18","2394824"
"3749","18","2403094"
"3750","18","2410048"
"3751","18","2426240"
"3752","18","2485926"
"3753","18","2633352"
"3754","18","2634573"
"3755","18","2634579"
"3756","18","2634715"
"3757","18","2639268"
"3758","18","2640729"
"3759","18","2641810"
"3760","18","2643071"
"3761","18","2643743"
"3762","18","2650122"
"3763","18","2655138"
"3764","18","2655984"
"3765","18","2657996"
"3766","18","2661169"
"3767","18","2721259"
"3768","18","2749234"
"3769","18","2783985"
"3770","18","2797656"
"3771","18","2803010"
"3772","18","2940204"
"3773","18","2988507"
"3774","18","2988621"
"3775","18","2989317"
"3776","18","2989460"
"3777","18","2995469"
"3778","18","3046686"
"3779","18","3052241"
"3780","18","3070291"
"3781","18","3106050"
"3782","18","3106672"
"3783","18","3117409"
"3784","18","3164603"
"3785","18","3173775"
"3786","18","3175532"
"3787","18","3181631"
"3788","18","3185012"
"3789","18","3247449"
"3790","18","3359510"
"3791","18","3362349"
"3792","18","3395380"
"3793","18","3433956"
"3794","18","3437954"
"3795","18","3439525"
"3796","18","3439748"
"3797","18","3439749"
"3798","18","3442585"
"3799","18","3455784"
"3800","18","3514876"
"3801","18","3534915"
"3802","18","3553478"
"3803","18","3558771"
"3804","18","3563843"
"3805","18","3645213"
"3806","18","3667991"
"3807","18","3672778"
"3808","18","3682393"
"3809","18","3687925"
"3810","18","3689560"
"3811","18","3712076"
"3812","18","3839307"
"3813","18","3902377"
"3814","18","3938396"
"3815","18","4081914"
"3816","18","4103448"
"3817","18","4141363"
"3818","18","4160610"
"3819","18","4176380"
"3820","18","4177703"
"3821","18","4260210"
"3822","18","4271935"
"3823","18","4274277"
"3824","18","4314550"
"3825","18","4319435"
"3826","18","4373238"
"3827","18","4387990"
"3828","18","4440076"
"3829","18","4517698"
"3830","18","4520760"
"3831","18","4529096"
"3832","18","4542975"
"3833","18","4556165"
"3834","18","4562407"
"3835","18","4670234"
"3836","18","4677008"
"3837","18","4716805"
"3838","18","4717232"
"3839","18","4717560"
"3840","18","4744091"
"3841","18","4766586"
"3842","18","4776222"
"3843","18","4832294"
"3844","18","4880889"
"3845","18","4883078"
"3846","18","4887398"
"3847","18","4888015"
"3848","18","4890864"
"3849","18","4905006"
"3850","18","4915545"
"3851","18","4925006"
"3852","18","4930956"
"3853","18","4937557"
"3854","18","4941720"
"3855","18","5006250"
"3856","18","5043473"
"3857","18","5073965"
"3858","18","5091872"
"3859","18","5096798"
"3860","18","5098863"
"3861","18","5102213"
"3862","18","5105608"
"3863","18","5113779"
"3864","18","5120095"
"3865","18","5134086"
"3866","18","5134323"
"3867","18","5158164"
"3868","18","5224151"
"3869","18","5229794"
"3870","18","5275191"
"3871","18","5317058"
"3872","18","5327298"
"3873","18","5339631"
"3874","18","5359052"
"3875","18","5379439"
"3876","18","5379513"
"3877","18","5408406"
"3878","18","5443910"
"3879","18","5445820"
"3880","18","5511077"
"3881","18","5549222"
"3882","18","5688025"
"3883","18","5780802"
"3884","18","5807540"
"3885","18","5992996"
"3886","18","6058560"
"3887","18","6075081"
"3888","18","6094817"
"3889","18","6113355"
"3890","18","6167865"
"3891","18","6176823"
"3892","18","7260219"
"3893","18","11549785"
"3894","19","71273"
"3895","19","109223"
"3896","19","141736"
"3897","19","148730"
"3898","19","149151"
"3899","19","149606"
"3900","19","219057"
"3901","19","241131"
"3902","19","252270"
"3903","19","252601"
"3904","19","264371"
"3905","19","266826"
"3906","19","284011"
"3907","19","286245"
"3908","19","287286"
"3909","19","289433"
"3910","19","298117"
"3911","19","304013"
"3912","19","304081"
"3913","19","320871"
"3914","19","321572"
"3915","19","331038"
"3916","19","338998"
